;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;PvotTGL;;PvotCounofSiteID;;;;;;;;;PivotUpSLADLULVOLTSOC;;;;;;;;;PivotSiteIDSiteName;;136;96;PivotDeskripsiAll;;;;;;;;PivotListKPIPOWER;;;PivotListKPITRANSPORT;;;;;;
;;;Row Labels;;Count of Site ID;Column Labels;;;;;;;;Uptime;SLAVSAT;DL (Mbps);UL (Mbps);BattVolt1(V);BattSOC(%);Signal Quality(%);Stream Error(%);;Row Labels;Site Name;List KPI POWER;List KPI TRANSPORT; ;Site Name;Alrm BTS;Equipment Type;STATUS SLA BTS;STSTUS VSAT;;;Row Labels;Site Name;;Row Labels;Site Name;;;;;
;;;;;Type Baterai;2,00;4,00;13,00;Grand Total;;;;6-Feb-26;80,42;83,40%;4,26;1,17;47,71;74,85;81,16;17,11%;;KEP0027;MUNJAN;ADA;ADA;KEP00049;LIUK;;;;SP1;;;KEP0027;MUNJAN;;KEP0027;MUNJAN;;;;;
;;;;;FH / NAGOYA;93,06;93,09;;93,08;;;;7-Feb-26;80,06;83,11%;4,36;1,18;47,60;74,39;81,17;16,13%;;KEP0028;MENGKAIT II;ADA;ADA;KEP00050;REWAK;#N/A;NO TIKET;OK;NOK;;;KEP0028;MENGKAIT II;;KEP0028;MENGKAIT II;;;;;
;;;;;Green Rhino;;;26,02;26,02;;;;8-Feb-26;80,12;83,11%;4,30;1,19;47,76;74,30;81,14;16,19%;;KEP0029;TELAGA KECIL;ADA;ADA;KEP00050;REWAK;;;;SP1;;;KEP0029;TELAGA KECIL;;KEP0029;TELAGA KECIL;;;;;
;;;;;HUAWEI;;;76,70;76,70;;;;9-Feb-26;79,52;82,73%;4,32;1,20;47,65;73,58;80,31;15,29%;;KEP0030;ULU MARAS;ADA;ADA;KEP00051;NUMBING;#N/A;VSAT;NOK;NOK;;;KEP0030;ULU MARAS;;KEP0030;ULU MARAS;;;;;
;;;;;New_Green Rhino;;;28,24;28,24;;;;10-Feb-26;79,37;82,39%;4,35;1,19;47,52;72,28;80,66;14,58%;;KEP0031;GENTING PULUR;ADA;ADA;KEP00051;NUMBING;;;;SP1;;;KEP0031;GENTING PULUR;;KEP0031;GENTING PULUR;;;;;
;;;;;Grand Total;93,06;93,09;63,65;77,26;;;;11-Feb-26;78,86;82,36%;4,31;1,20;47,85;74,65;79,47;14,20%;;KEP0033;KERAMUT;ADA;ADA;KEP00052;NUMBING II;#N/A;NO TIKET;OK;NOK;;;KEP0033;KERAMUT;;KEP0033;KERAMUT;;;;;
;;;;;;;;;;;;;12-Feb-26;78,64;82,35%;4,32;1,20;47,79;72,86;78,16;14,08%;;KEP0034;SUNGGAK;ADA;ADA;KEP00052;NUMBING II;;;;SP1;;;KEP0034;SUNGGAK;;KEP0034;SUNGGAK;;;;;
;;;;;;;;;;;;;13-Feb-26;78,66;82,35%;4,28;1,19;47,71;74,53;78,62;13,98%;;KEP0035;LANDAK;ADA;ADA;KEP0013;MELIAH;#N/A;VSAT;OK;NOK;;;KEP0035;LANDAK;;KEP0035;LANDAK;;;;;
;;;;;Row Labels;Average of Availability (%);;Row Labels;Average of Availability (%);;;;14-Feb-26;78,43;82,18%;4,22;1,19;47,60;72,54;79,71;13,63%;;KEP004;KUKUP;ADA;ADA;KEP0013;MELIAH;;;;SP1;;;KEP004;KUKUP;;KEP004;KUKUP;;;;;
;;;;;IPT;93,41;;CHINASAT11;72,77;;;;15-Feb-26;77,56;82,20%;4,18;1,18;47,68;74,05;80,27;14,20%;;KEP0040;SEBELAT;ADA;ADA;KEP0015;PULAU KERDAU;#N/A;VSAT;OK;NOK;;;KEP0040;SEBELAT;;KEP0040;SEBELAT;;;;;
