;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;PvotTGL;;PvotCounofSiteID;;;;;;;;;PivotUpSLADLULVOLTSOC;;;;;;;;;PivotSiteIDSiteName;;136;96;PivotDeskripsiAll;;;;;;;;PivotListKPIPOWER;;;PivotListKPITRANSPORT;;;;;;
;;;Row Labels;;Count of Site ID;Column Labels;;;;;;;;Uptime;SLAVSAT;DL (Mbps);UL (Mbps);BattVolt1(V);BattSOC(%);Signal Quality(%);Stream Error(%);;Row Labels;Site Name;List KPI POWER;List KPI TRANSPORT; ;Site Name;Alrm BTS;Equipment Type;STATUS SLA BTS;STSTUS VSAT;;;Row Labels;Site Name;;Row Labels;Site Name;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00155;BORIK;ADA;ADA;NTB00068;SAMBIK ELEN;;;;SP1;;;NTT00158;KAJONG;;NTT00155;BORIK;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00156;WONGKA;ADA;ADA;NTB00070;PUNCAK JERINGO;#N/A;NO TIKET;NOK;NOK;;;NTT00164;LEMARANG;;NTT00156;WONGKA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00158;KAJONG;ADA;ADA;NTB00070;PUNCAK JERINGO;;;;SP1;;;NTT00173;KALAMBA;;NTT00158;KAJONG;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00159;TO'E;NO LIST;ADA;NTB00071;BATUDULANG II;#N/A;NO TIKET;NOK;NOK;;;NTT00174;MATAWAI PAWALI;;NTT00159;TO'E;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00164;LEMARANG;ADA;ADA;NTB00071;BATUDULANG II;;;;SP1;;;NTT00175;TANDULA JANGGA;;NTT00164;LEMARANG;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00173;KALAMBA;ADA;ADA;NTB00072;KEREKEH II;#N/A;NO TIKET;NOK;NOK;;;NTT00176;PULU PANJANG;;NTT00173;KALAMBA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00174;MATAWAI PAWALI;ADA;ADA;NTB00072;KEREKEH II;;;;SP1;;;NTT00178;BILLA;;NTT00174;MATAWAI PAWALI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00175;TANDULA JANGGA;ADA;ADA;NTB00074;WOKO II;#N/A;NO TIKET;NOK;NOK;;;NTT00179;KARITA;;NTT00175;TANDULA JANGGA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00176;PULU PANJANG;ADA;ADA;NTB00074;WOKO II;;;;SP1;;;NTT00180;KUKI TALU;;NTT00176;PULU PANJANG;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00178;BILLA;ADA;ADA;NTB00075;SEMINAR SALIT;#N/A;NO TIKET;NOK;NOK;;;NTT00181;TAPIL;;NTT00178;BILLA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00179;KARITA;ADA;ADA;NTB00075;SEMINAR SALIT;;;;SP1;;;NTT00182;TARIMBANG;;NTT00179;KARITA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00180;KUKI TALU;ADA;ADA;NTB00079;PIONG;#N/A;VSAT;NOK;NOK;;;NTT00184;PINDU HURANI;;NTT00180;KUKI TALU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00181;TAPIL;ADA;ADA;NTB00079;PIONG;;;;SP1;;;NTT00185;PRAING KAREHA;;NTT00181;TAPIL;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00182;TARIMBANG;ADA;ADA;NTB00081;BUWUN MAS;#N/A;VSAT;NOK;NOK;;;NTT00186;WUDI PANDAK;;NTT00182;TARIMBANG;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00184;PINDU HURANI;ADA;ADA;NTB00081;BUWUN MAS;;;;SP1;;;NTT00188;RAMUK;;NTT00184;PINDU HURANI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00185;PRAING KAREHA;ADA;ADA;NTB00082;MERTAK;#N/A;VSAT;NOK;NOK;;;NTT00189;WANGGA MBEWA;;NTT00185;PRAING KAREHA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00186;WUDI PANDAK;ADA;ADA;NTB00082;MERTAK;;;;SP1;;;NTT0019;POTO;;NTT00186;WUDI PANDAK;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00188;RAMUK;ADA;ADA;NTB0016;MAMA;#N/A;VSAT;NOK;NOK;;;NTT00190;LAILUNGGI;;NTT00188;RAMUK;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00189;WANGGA MBEWA;ADA;ADA;NTB0016;MAMA;;;;SP1;;;NTT00191;TAWUI;;NTT00189;WANGGA MBEWA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT0019;POTO;ADA;ADA;NTB0017;KELAWIS;#N/A;VSAT;OK;NOK;;;NTT00192;WAHANG;;NTT0019;POTO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00190;LAILUNGGI;ADA;ADA;NTB0017;KELAWIS;;;;SP1;;;NTT00194;KAMBATATANA;;NTT00190;LAILUNGGI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00191;TAWUI;ADA;ADA;NTB0018;MUNGKIN;#N/A;NO TIKET;SP1;SP1;;;NTT00198;UMALULU;;NTT00191;TAWUI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00192;WAHANG;ADA;ADA;NTB0023;RABA BAKA;#N/A;BTS;OK;NOK;;;NTT00199;LAIRURU;;NTT00192;WAHANG;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00194;KAMBATATANA;ADA;ADA;NTB0023;RABA BAKA;;;;SP1;;;NTT0020;NUATAUS;;NTT00194;KAMBATATANA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00198;UMALULU;ADA;ADA;NTB0027;WOKO;#N/A;NO TIKET;OK;NOK;;;NTT00200;NGARU KANORU;;NTT00198;UMALULU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00199;LAIRURU;ADA;ADA;NTB0027;WOKO;;;;SP1;;;NTT00201;KABARU;;NTT00199;LAIRURU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT0020;NUATAUS;ADA;ADA;NTB0030;MANGGE;#N/A;NO TIKET;NOK;NOK;;;NTT00202;LAILANJANG;;NTT0020;NUATAUS;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00200;NGARU KANORU;ADA;ADA;NTB0030;MANGGE;;;;SP1;;;NTT00203;TAMBURI;;NTT00200;NGARU KANORU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00201;KABARU;ADA;ADA;NTB0040;KEREKEH;#N/A;VSAT;NOK;NOK;;;NTT00205;PAMBURU;;NTT00201;KABARU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00202;LAILANJANG;ADA;ADA;NTB0040;KEREKEH;;;;SP1;;;NTT00206;TAMMA;;NTT00202;LAILANJANG;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00203;TAMBURI;ADA;ADA;NTB0041;MAPIN KEBAK;#N/A;NO TIKET;OK;NOK;;;NTT00208;LAIPANDAK;;NTT00203;TAMBURI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00205;PAMBURU;ADA;ADA;NTB0041;MAPIN KEBAK;;;;SP1;;;NTT00209;PARANDA;;NTT00205;PAMBURU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00206;TAMMA;ADA;ADA;NTB0042;SAMPE;#N/A;NO TIKET;NOK;NOK;;;NTT0021;NAITAE;;NTT00206;TAMMA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00208;LAIPANDAK;ADA;ADA;NTB0042;SAMPE;;;;SP1;;;NTT00212;KARERA JANGGA;;NTT00208;LAIPANDAK;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00209;PARANDA;ADA;ADA;NTB0043;LENANGGUAR;#N/A;NO TIKET;OK;NOK;;;NTT00215;WINU MURU;;NTT00209;PARANDA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT0021;NAITAE;ADA;ADA;NTB0043;LENANGGUAR;;;;SP1;;;NTT00217;PRAIMADITA;;NTT0021;NAITAE;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00212;KARERA JANGGA;ADA;ADA;NTB0044;DESA BATUROTOK;#N/A;NO TIKET;NOK;NOK;;;NTT00218;PRAISALURA;;NTT00212;KARERA JANGGA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00215;WINU MURU;ADA;ADA;NTB0044;DESA BATUROTOK;;;;SP1;;;NTT00219;NANGGA;;NTT00215;WINU MURU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00217;PRAIMADITA;ADA;ADA;NTB0045;KELUNGKUNG;#N/A;VSAT;NOK;NOK;;;NTT00220;JANGGA MANGU;;NTT00217;PRAIMADITA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00218;PRAISALURA;ADA;ADA;NTB0045;KELUNGKUNG;;;;SP1;;;NTT00221;ANANJAKI;;NTT00218;PRAISALURA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00219;NANGGA;ADA;ADA;NTB0047;DORO O'O;#N/A;BTS;SP1;NOK;;;NTT00229;WANGGA METI;;NTT00219;NANGGA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00220;JANGGA MANGU;ADA;ADA;NTB0047;DORO O'O;;;;SP1;;;NTT00230;KATIKU WAI;;NTT00220;JANGGA MANGU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00221;ANANJAKI;ADA;ADA;NTB0049;HU'U;#N/A;VSAT;OK;NOK;;;NTT00231;KATIKU LUKU;;NTT00221;ANANJAKI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00229;WANGGA METI;ADA;ADA;NTB0049;HU'U;;;;SP1;;;NTT00232;KIRITANA;;NTT00229;WANGGA METI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00230;KATIKU WAI;ADA;ADA;NTB0050;KRAMAT;#N/A;VSAT;OK;NOK;;;NTT00239;MONDU LAMBI;;NTT00230;KATIKU WAI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00231;KATIKU LUKU;ADA;ADA;NTB0050;KRAMAT;;;;SP1;;;NTT00240;KOMBAPARI;;NTT00231;KATIKU LUKU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00232;KIRITANA;ADA;ADA;NTB0052;KARAMPI;#N/A;VSAT;NOK;NOK;;;NTT00241;MATAWAI AMAHU;;NTT00232;KIRITANA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00239;MONDU LAMBI;ADA;ADA;NTB0052;KARAMPI;;;;SP1;;;NTT00243;PRAIBAKUL;;NTT00239;MONDU LAMBI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00240;KOMBAPARI;ADA;ADA;NTB0053;KANGGA;#N/A;ADUAN;NOK;NOK;;;NTT00245;NDAPAYAMI;;NTT00240;KOMBAPARI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00241;MATAWAI AMAHU;ADA;ADA;NTB0053;KANGGA;;;;SP1;;;NTT00247;HAMBA WUTANG;;NTT00241;MATAWAI AMAHU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00243;PRAIBAKUL;ADA;ADA;NTB0056;KABORO;#N/A;BTS;SP1;BAD;;;NTT00249;PRAURAMING;;NTT00243;PRAIBAKUL;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00245;NDAPAYAMI;ADA;ADA;NTB0056;KABORO;;;;SP1;;;NTT00253;LULUNDILU;;NTT00245;NDAPAYAMI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00247;HAMBA WUTANG;ADA;ADA;NTB00623;KAWUWU;#N/A;ADUAN;NOK;NOK;;;NTT00254;HARAI;;NTT00247;HAMBA WUTANG;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00249;PRAURAMING;ADA;ADA;NTB00623;KAWUWU;;;;SP1;;;NTT00255;PRAIBAKUL;;NTT00249;PRAURAMING;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00253;LULUNDILU;ADA;ADA;NTB00625;TARLAWI;#N/A;NO TIKET;NOK;NOK;;;NTT00256;WETANA;;NTT00253;LULUNDILU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00254;HARAI;ADA;ADA;NTB00625;TARLAWI;;;;SP1;;;NTT00257;GAURA;;NTT00254;HARAI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00255;PRAIBAKUL;ADA;ADA;NTT00104;NUANGENDA;#N/A;VSAT;NOK;NOK;;;NTT00258;PATIALA DETE;;NTT00255;PRAIBAKUL;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00256;WETANA;ADA;ADA;NTT00104;NUANGENDA;;;;SP1;;;NTT00265;NUBA ATALOJO;;NTT00256;WETANA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00257;GAURA;ADA;ADA;NTT0011;LETKOLE;#N/A;VSAT;OK;NOK;;;NTT00269;LAMALELA;;NTT00257;GAURA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00258;PATIALA DETE;ADA;ADA;NTT0011;LETKOLE;;;;SP1;;;NTT00270;BELOBATANG;;NTT00258;PATIALA DETE;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00265;NUBA ATALOJO;ADA;ADA;NTT00116;DETUWULU;#N/A;VSAT;OK;NOK;;;NTT00275;ARAMENGI;;NTT00265;NUBA ATALOJO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00269;LAMALELA;ADA;ADA;NTT00116;DETUWULU;;;;SP1;;;NTT00283;LELATA;;NTT00269;LAMALELA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00270;BELOBATANG;ADA;ADA;NTT00118;KEBIRANGGA SELATAN;#N/A;VSAT;SP1;NOK;;;NTT00284;WULANDONI;;NTT00270;BELOBATANG;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00275;ARAMENGI;ADA;ADA;NTT00118;KEBIRANGGA SELATAN;;;;SP1;;;NTT00289;TAPOBALI;;NTT00275;ARAMENGI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00283;LELATA;ADA;ADA;NTT0012;NEFONEUT;#N/A;NO TIKET;OK;NOK;;;NTT0029;NUAPIN;;NTT00283;LELATA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00284;WULANDONI;ADA;ADA;NTT0012;NEFONEUT;;;;SP1;;;NTT00295;FAIFUA;;NTT00284;WULANDONI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00289;TAPOBALI;ADA;ADA;NTT00127;NIOPANDA;#N/A;NO TIKET;OK;NOK;;;NTT0030;NUNBENA;;NTT00289;TAPOBALI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT0029;NUAPIN;ADA;ADA;NTT00127;NIOPANDA;;;;SP1;;;NTT00307;NGGILAT;;NTT0029;NUAPIN;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00295;FAIFUA;ADA;ADA;NTT00130;LISELANDE;#N/A;NO TIKET;OK;NOK;;;NTT00310;GOLO MANTING;;NTT00295;FAIFUA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT0030;NUNBENA;ADA;ADA;NTT00130;LISELANDE;;;;SP1;;;NTT00312;POCO GOLO KEMPO;;NTT0030;NUNBENA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00307;NGGILAT;ADA;ADA;NTT00134;TIWUSORA;#N/A;VSAT;SP1;NOK;;;NTT00323;REPI;;NTT00307;NGGILAT;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00310;GOLO MANTING;ADA;ADA;NTT00134;TIWUSORA;;;;SP1;;;NTT00324;WATU WAJA;;NTT00310;GOLO MANTING;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00312;POCO GOLO KEMPO;ADA;ADA;NTT00134;TIWUSORA;ENB out of service;VSAT;SP1;NOK;;;NTT00325;BENTENG DEWA;;NTT00312;POCO GOLO KEMPO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00323;REPI;ADA;ADA;NTT00134;TIWUSORA;;;;SP1;;;NTT00328;BENTENG TADO;;NTT00323;REPI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00324;WATU WAJA;ADA;ADA;NTT00137;LUNGAR;#N/A;ADUAN;NOK;NOK;;;NTT00338;SORU;;NTT00324;WATU WAJA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00325;BENTENG DEWA;ADA;ADA;NTT00137;LUNGAR;;;;SP1;;;NTT00346;LENANG SELATAN;;NTT00325;BENTENG DEWA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00328;BENTENG TADO;ADA;ADA;NTT00138;KOAK;#N/A;NO TIKET;OK;NOK;;;NTT00348;KONDA MALOBA;;NTT00328;BENTENG TADO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00338;SORU;ADA;ADA;NTT00138;KOAK;;;;SP1;;;NTT00351;KAHALE;;NTT00338;SORU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00346;LENANG SELATAN;ADA;ADA;NTT00139;LANGGO;#N/A;BTS;SP1;BAD;;;NTT00354;POCO RII;;NTT00346;LENANG SELATAN;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00348;KONDA MALOBA;ADA;ADA;NTT00139;LANGGO;;;;SP1;;;NTT00362;NANGA BARAS;;NTT00348;KONDA MALOBA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00351;KAHALE;ADA;ADA;NTT00139;LANGGO;NE Disconnected;BTS;SP1;BAD;;;NTT00366;NANGA MBAUR;;NTT00351;KAHALE;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00354;POCO RII;ADA;ADA;NTT00139;LANGGO;;;;SP1;;;NTT00372;COMPANG CONGKAR;;NTT00354;POCO RII;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00362;NANGA BARAS;ADA;ADA;NTT00140;TADO;#N/A;NO TIKET;OK;NOK;;;NTT00383;LEGUR LAI;;NTT00362;NANGA BARAS;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00366;NANGA MBAUR;ADA;ADA;NTT00140;TADO;;;;SP1;;;NTT00390;BAMO;;NTT00366;NANGA MBAUR;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00372;COMPANG CONGKAR;ADA;ADA;NTT00142;SATAR LOUNG;#N/A;NO TIKET;OK;NOK;;;NTT00391;MOKEL MORID;;NTT00372;COMPANG CONGKAR;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00383;LEGUR LAI;ADA;ADA;NTT00142;SATAR LOUNG;;;;SP1;;;NTT00394;GOLO LONI;;NTT00383;LEGUR LAI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00390;BAMO;ADA;ADA;NTT00151;SATAR LUJU;#N/A;NO TIKET;OK;NOK;;;NTT00395;COMPANG KANTAR;;NTT00390;BAMO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00391;MOKEL MORID;ADA;ADA;NTT00151;SATAR LUJU;;;;SP1;;;NTT00396;SATAR LENDA;;NTT00391;MOKEL MORID;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00394;GOLO LONI;ADA;ADA;NTT00152;SATAR LENDA;#N/A;VSAT;NOK;NOK;;;NTT00397;LALANG;;NTT00394;GOLO LONI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00395;COMPANG KANTAR;ADA;ADA;NTT00152;SATAR LENDA;;;;SP1;;;NTT004;TUAPANAF;;NTT00395;COMPANG KANTAR;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00396;SATAR LENDA;ADA;ADA;NTT00153;SATAR RUWUK;#N/A;VSAT;NOK;NOK;;;NTT0040;NONOTBATAN;;NTT00396;SATAR LENDA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00397;LALANG;ADA;ADA;NTT00153;SATAR RUWUK;;;;SP1;;;NTT0041;TUAMESE;;NTT00397;LALANG;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT004;TUAPANAF;ADA;ADA;NTT00154;NUCA MOLAS;#N/A;NO TIKET;OK;NOK;;;NTT00413;LEMPANG PAJI;;NTT004;TUAPANAF;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT0040;NONOTBATAN;ADA;ADA;NTT00154;NUCA MOLAS;;;;SP1;;;NTT00414;NANGA MEJE;;NTT0040;NONOTBATAN;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT0041;TUAMESE;ADA;ADA;NTT00155;BORIK;#N/A;NO TIKET;OK;NOK;;;NTT00415;GOLO LINUS;;NTT0041;TUAMESE;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00413;LEMPANG PAJI;ADA;ADA;NTT00155;BORIK;;;;SP1;;;NTT00416;WAE RASAN;;NTT00413;LEMPANG PAJI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00414;NANGA MEJE;ADA;ADA;NTT00156;WONGKA;#N/A;VSAT;OK;NOK;;;NTT00417;NANGA PUUN;;NTT00414;NANGA MEJE;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00415;GOLO LINUS;ADA;ADA;NTT00156;WONGKA;;;;SP1;;;NTT00419;KOLORAE;;NTT00415;GOLO LINUS;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00416;WAE RASAN;ADA;ADA;NTT00158;KAJONG;#N/A;BTS;NOK;NOK;;;NTT0042;NAEKAKE B;;NTT00416;WAE RASAN;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00417;NANGA PUUN;ADA;ADA;NTT00158;KAJONG;;;;SP1;;;NTT00421;LAI LARA;;NTT00417;NANGA PUUN;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00419;KOLORAE;ADA;ADA;NTT00159;TO'E;#N/A;VSAT;NOK;NOK;;;NTT00428;ONI;;NTT00419;KOLORAE;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT0042;NAEKAKE B;ADA;ADA;NTT00159;TO'E;;;;SP1;;;NTT00436;TANGLAPUI;;NTT0042;NAEKAKE B;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00421;LAI LARA;ADA;ADA;NTT00164;LEMARANG;#N/A;ADUAN;NOK;NOK;;;NTT00437;NAILANG;;NTT00421;LAI LARA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00428;ONI;ADA;ADA;NTT00164;LEMARANG;;;;SP1;;;NTT00446;CUNCA WULANG;;NTT00428;ONI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT0043;NOELELO;NO LIST;ADA;NTT00173;KALAMBA;#N/A;VSAT;OK;NOK;;;NTT00448;SERAYA MARANNU;;NTT0043;NOELELO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00436;TANGLAPUI;ADA;ADA;NTT00173;KALAMBA;;;;SP1;;;NTT00449;REHAK;;NTT00436;TANGLAPUI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00437;NAILANG;ADA;ADA;NTT00174;MATAWAI PAWALI;#N/A;NO TIKET;OK;NOK;;;NTT00450;GOLO RATUNG;;NTT00437;NAILANG;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00446;CUNCA WULANG;ADA;ADA;NTT00174;MATAWAI PAWALI;;;;SP1;;;NTT00455;GOLO LARONG;;NTT00446;CUNCA WULANG;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00448;SERAYA MARANNU;ADA;ADA;NTT00175;TANDULA JANGGA;#N/A;NO TIKET;OK;NOK;;;NTT00457;SUKA KIONG;;NTT00448;SERAYA MARANNU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00449;REHAK;ADA;ADA;NTT00175;TANDULA JANGGA;;;;SP1;;;NTT00458;WAE LOLOS;;NTT00449;REHAK;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00450;GOLO RATUNG;ADA;ADA;NTT00176;PULU PANJANG;#N/A;NO TIKET;OK;NOK;;;NTT00459;MATA WAE;;NTT00450;GOLO RATUNG;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00455;GOLO LARONG;ADA;ADA;NTT00176;PULU PANJANG;;;;SP1;;;NTT00460;PENGKA;;NTT00455;GOLO LARONG;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00457;SUKA KIONG;ADA;ADA;NTT00178;BILLA;#N/A;NO TIKET;NOK;NOK;;;NTT00464;WATU PANGGAL;;NTT00457;SUKA KIONG;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00458;WAE LOLOS;ADA;ADA;NTT00178;BILLA;;;;SP1;;;NTT00465;GOLO SENGANG;;NTT00458;WAE LOLOS;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00459;MATA WAE;ADA;ADA;NTT00179;KARITA;#N/A;NO TIKET;OK;NOK;;;NTT00470;NGALUROGA;;NTT00459;MATA WAE;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00460;PENGKA;ADA;ADA;NTT00179;KARITA;;;;SP1;;;NTT00471;WAKA;;NTT00460;PENGKA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00464;WATU PANGGAL;ADA;ADA;NTT00180;KUKI TALU;#N/A;VSAT;NOK;NOK;;;NTT00472;TIWU TEWA;;NTT00464;WATU PANGGAL;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00465;GOLO SENGANG;ADA;ADA;NTT00180;KUKI TALU;;;;SP1;;;NTT00473;NILA;;NTT00465;GOLO SENGANG;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00470;NGALUROGA;ADA;ADA;NTT00181;TAPIL;#N/A;NO TIKET;NOK;NOK;;;NTT00477;MBULIWARALAU;;NTT00470;NGALUROGA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00471;WAKA;ADA;ADA;NTT00181;TAPIL;;;;SP1;;;NTT00480;DETUPERA;;NTT00471;WAKA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00472;TIWU TEWA;ADA;ADA;NTT00182;TARIMBANG;#N/A;VSAT;OK;NOK;;;NTT00483;NIDA;;NTT00472;TIWU TEWA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00473;NILA;ADA;ADA;NTT00182;TARIMBANG;;;;SP1;;;NTT00485;NIRA NUSA;;NTT00473;NILA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00477;MBULIWARALAU;ADA;ADA;NTT00184;PINDU HURANI;#N/A;NO TIKET;NOK;NOK;;;NTT00486;FATAMARI;;NTT00477;MBULIWARALAU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00480;DETUPERA;ADA;ADA;NTT00184;PINDU HURANI;;;;SP1;;;NTT0054;KELAISI BARAT;;NTT00480;DETUPERA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00483;NIDA;ADA;ADA;NTT00185;PRAING KAREHA;#N/A;NO TIKET;OK;NOK;;;NTT0055;KUNEMAN;;NTT00483;NIDA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00484;OTOGEDU;NO LIST;ADA;NTT00185;PRAING KAREHA;;;;SP1;;;NTT00560;PALILOLON;;NTT00484;OTOGEDU;;;;;
