;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Column Labels;;;;;;;;;;;;;;;;;;;;;;;;;Column Labels;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Average of Availability (%);;;;;;;;;;Average of SLA VSAT;;;;;;;;;;Total Average of Availability (%);Total Average of SLA VSAT;;;;Average of Availability (%);;;;;;;;;;Average of SLA VSAT;;;;;;;;;;Total Average of Availability (%);Total Average of SLA VSAT;;;;;;;;;;;;;
;;;;;6;7;8;9;;;;;;;6;7;8;9;;;;;;;;;;;60;6;7;8;9;;;;;;;6;7;8;9;;;;;;;;;;;;;;;;;;;;;
;;;Site ID;Site Name;;;;22-Feb;23-Feb;24-Feb;25-Feb;26-Feb;27-Feb;28-Feb;;;;22-Feb;23-Feb;24-Feb;25-Feb;26-Feb;27-Feb;28-Feb;;;;Site ID;Site Name;;;;22-Feb;23-Feb;24-Feb;25-Feb;26-Feb;27-Feb;28-Feb;;;;22-Feb;23-Feb;24-Feb;25-Feb;26-Feb;27-Feb;28-Feb;;;;;;;;;;;;;;;
;;;NTT00230;KATIKU WAI;99,82142857;99,83;99,55714286;99,65;58,33;69,79;95,08;100;99,95;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,05;100,00%;;NTT00230;KATIKU WAI;99,82;99,83;99,56;99,65;58,33;69,79;95,08;100;99,95;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,05;100,00%;;;;;;;;;;;;;
;;;NTT00231;KATIKU LUKU;99,76857143;99,83571429;99,59142857;99,7;54,16;68,75;95,18;100;99,97;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,86;100,00%;;NTT00231;KATIKU LUKU;99,77;99,84;99,59;99,7;54,16;68,75;95,18;100;99,97;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,86;100,00%;;;;;;;;;;;;;
;;;NTT00232;KIRITANA;99,74571429;99,77714286;99,57;99,4;54,16;73,95;97,27;99,63;99,54;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,06;100,00%;;NTT00232;KIRITANA;99,75;99,78;99,57;99,4;54,16;73,95;97,27;99,63;99,54;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,06;100,00%;;;;;;;;;;;;;
;;;NTT00239;MONDU LAMBI;99,57714286;99,79571429;99,45571429;99,36;62,29;70,63;98,21;100;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,22;100,00%;;NTT00239;MONDU LAMBI;99,58;99,80;99,46;99,36;62,29;70,63;98,21;100;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,22;100,00%;;;;;;;;;;;;;
;;;NTT00240;KOMBAPARI;99,93428571;99,77142857;99,62;99,45;62,4;72,91;97,2;100;99,97;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,40;100,00%;;NTT00240;KOMBAPARI;99,93;99,77;99,62;99,45;62,4;72,91;97,2;100;99,97;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,40;100,00%;;;;;;;;;;;;;
;;;NTT00241;MATAWAI AMAHU;1,91;0;0;0;0;0;0;0;0;0;1;1;0,992559524;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;0,48;99,81%;;NTT00241;MATAWAI AMAHU;1,91;0,00;0,00;0;0;0;0;0;0;0;100,00%;100,00%;99,26%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;0,48;99,81%;;;;;;;;;;;;;
;;;NTT00243;PRAIBAKUL;98,94285714;98,97;95,19857143;99,68;57,09;70,83;96,12;100;100;100;0,992559524;0,992559524;0,959821429;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;95,55;98,62%;;NTT00243;PRAIBAKUL;98,94;98,97;95,20;99,68;57,09;70,83;96,12;100;100;100;99,26%;99,26%;95,98%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;95,55;98,62%;;;;;;;;;;;;;
;;;NTT00245;NDAPAYAMI;99,82428571;99,63571429;99,50571429;99,64;62,39;70,83;97,26;100;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,25;100,00%;;NTT00245;NDAPAYAMI;99,82;99,64;99,51;99,64;62,39;70,83;97,26;100;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,25;100,00%;;;;;;;;;;;;;
;;;NTT00247;HAMBA WUTANG;99,91857143;99,83857143;99,55857143;99,37;62,39;70,8;97,16;100;99,97;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,32;100,00%;;NTT00247;HAMBA WUTANG;99,92;99,84;99,56;99,37;62,39;70,8;97,16;100;99,97;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,32;100,00%;;;;;;;;;;;;;
;;;NTT00249;PRAURAMING;99,93285714;99,84714286;99,55571429;99,68;62,38;71,87;97,26;100;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,38;100,00%;;NTT00249;PRAURAMING;99,93;99,85;99,56;99,68;62,38;71,87;97,26;100;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,38;100,00%;;;;;;;;;;;;;
;;;NTT00253;LULUNDILU;99,90571429;99,83428571;99,51714286;99,4;58,33;72,91;97,26;100;99,59;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,22;100,00%;;NTT00253;LULUNDILU;99,91;99,83;99,52;99,4;58,33;72,91;97,26;100;99,59;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,22;100,00%;;;;;;;;;;;;;
;;;NTT00254;HARAI;99,91857143;99,81714286;99,28714286;99,41;58,33;72,84;96,12;100;99,56;99,97;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,12;100,00%;;NTT00254;HARAI;99,92;99,82;99,29;99,41;58,33;72,84;96,12;100;99,56;99,97;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,12;100,00%;;;;;;;;;;;;;
;;;NTT00255;PRAIBAKUL;99,50428571;99,29857143;99,49;99,63;58,33;72,75;97,26;100;100;100;1;0,998511905;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,00;99,96%;;NTT00255;PRAIBAKUL;99,50;99,30;99,49;99,63;58,33;72,75;97,26;100;100;100;100,00%;99,85%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,00;99,96%;;;;;;;;;;;;;
;;;NTT00256;WETANA;98,92;99,63714286;99,40428571;99,4;58,18;70,83;98,1;100;99,39;100;0,994047619;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,84;99,85%;;NTT00256;WETANA;98,92;99,64;99,40;99,4;58,18;70,83;98,1;100;99,39;100;99,40%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,84;99,85%;;;;;;;;;;;;;
;;;NTT00257;GAURA;99,38;99,79142857;99,20857143;100;54,16;70,83;94,89;99,71;99,94;72,89;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;80,21%;95,75;99,29%;;NTT00257;GAURA;99,38;99,79;99,21;100;54,16;70,83;94,89;99,71;99,94;72,89;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;80,21%;95,75;99,29%;;;;;;;;;;;;;
;;;NTT00258;PATIALA DETE;95,02428571;26,54142857;0;0;0;44,79;0;0;0;0;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;31,99;100,00%;;NTT00258;PATIALA DETE;95,02;26,54;0,00;0;0;44,79;0;0;0;0;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;31,99;100,00%;;;;;;;;;;;;;
;;;NTT00265;NUBA ATALOJO;100;93,98285714;94,48142857;98,95;54,16;68,75;68,69;70,12;89,18;79,33;1;0,980654762;0,985119048;100,00%;100,00%;100,00%;90,63%;92,71%;100,00%;100,00%;91,02;98,55%;;NTT00265;NUBA ATALOJO;100,00;93,98;94,48;98,95;54,16;68,75;68,69;70,12;89,18;79,33;100,00%;98,07%;98,51%;100,00%;100,00%;100,00%;90,63%;92,71%;100,00%;100,00%;91,02;98,55%;;;;;;;;;;;;;
;;;NTT00269;LAMALELA;99,80857143;99,55142857;99,04285714;99,65;62,11;69,76;96,48;99,64;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,02;100,00%;;NTT00269;LAMALELA;99,81;99,55;99,04;99,65;62,11;69,76;96,48;99,64;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,02;100,00%;;;;;;;;;;;;;
;;;NTT00270;BELOBATANG;100;99,99571429;99,99;100;54,16;72,91;97,91;100;99,76;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,31;100,00%;;NTT00270;BELOBATANG;100,00;100,00;99,99;100;54,16;72,91;97,91;100;99,76;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,31;100,00%;;;;;;;;;;;;;
;;;NTT00275;ARAMENGI;99,95285714;99,87571429;99,78142857;99,83;66,66;71,87;98,74;99,96;99,39;99,97;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,63;100,00%;;NTT00275;ARAMENGI;99,95;99,88;99,78;99,83;66,66;71,87;98,74;99,96;99,39;99,97;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,63;100,00%;;;;;;;;;;;;;
;;;NTT00283;LELATA;99,81714286;99,89428571;99,20142857;99,7;57,92;71,85;99,42;99,65;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,18;100,00%;;NTT00283;LELATA;99,82;99,89;99,20;99,7;57,92;71,85;99,42;99,65;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,18;100,00%;;;;;;;;;;;;;
;;;NTT00284;WULANDONI;99,78714286;99,76571429;99,36857143;99,7;56,89;72,89;98,31;99,71;99,97;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,14;100,00%;;NTT00284;WULANDONI;99,79;99,77;99,37;99,7;56,89;72,89;98,31;99,71;99,97;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,14;100,00%;;;;;;;;;;;;;
;;;NTT00289;TAPOBALI;99,99142857;99,97142857;99,99142857;100;62,5;72,15;98,95;100;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,62;100,00%;;NTT00289;TAPOBALI;99,99;99,97;99,99;100;62,5;72,15;98,95;100;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,62;100,00%;;;;;;;;;;;;;
;;;NTT0029;NUAPIN;99,85428571;99,89714286;99,19285714;99,63;58,13;70,8;96,21;99,68;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,04;100,00%;;NTT0029;NUAPIN;99,85;99,90;99,19;99,63;58,13;70,8;96,21;99,68;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,04;100,00%;;;;;;;;;;;;;
;;;NTT00295;FAIFUA;99,74571429;99,80142857;99,90285714;98,95;54,16;71,81;95,83;99,69;100;99,78;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,01;100,00%;;NTT00295;FAIFUA;99,75;99,80;99,90;98,95;54,16;71,81;95,83;99,69;100;99,78;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,01;100,00%;;;;;;;;;;;;;
;;;NTT0030;NUNBENA;99,75142857;99,98428571;99,94142857;100;58,33;75;96,18;99,74;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,39;100,00%;;NTT0030;NUNBENA;99,75;99,98;99,94;100;58,33;75;96,18;99,74;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,39;100,00%;;;;;;;;;;;;;
;;;NTT00307;NGGILAT;99,42;99,27285714;98,62857143;97,03;66,35;69,72;95,83;100;99,86;99,97;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,79;100,00%;;NTT00307;NGGILAT;99,42;99,27;98,63;97,03;66,35;69,72;95,83;100;99,86;99,97;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,79;100,00%;;;;;;;;;;;;;
;;;NTT00310;GOLO MANTING;99,89857143;99,77714286;99,56714286;98,71;62,22;72,88;97,26;100;99,97;99,97;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,35;100,00%;;NTT00310;GOLO MANTING;99,90;99,78;99,57;98,71;62,22;72,88;97,26;100;99,97;99,97;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,35;100,00%;;;;;;;;;;;;;
;;;NTT00312;POCO GOLO KEMPO;99,92285714;99,75;99,62857143;99,46;58,33;72,91;96,14;100;99,82;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,21;100,00%;;NTT00312;POCO GOLO KEMPO;99,92;99,75;99,63;99,46;58,33;72,91;96,14;100;99,82;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,21;100,00%;;;;;;;;;;;;;
;;;NTT00323;REPI;99,89142857;99,80428571;99,54;99,3;66,56;70,83;97,26;100;99,94;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,45;100,00%;;NTT00323;REPI;99,89;99,80;99,54;99,3;66,56;70,83;97,26;100;99,94;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,45;100,00%;;;;;;;;;;;;;
;;;NTT00324;WATU WAJA;99,90285714;99,75;99,46285714;98,58;54,06;71,87;95,83;100;99,94;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,93;100,00%;;NTT00324;WATU WAJA;99,90;99,75;99,46;98,58;54,06;71,87;95,83;100;99,94;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,93;100,00%;;;;;;;;;;;;;
;;;NTT00325;BENTENG DEWA;99,91714286;99,65857143;99,40571429;99,61;58,07;75,86;95,76;100;99,97;99,97;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,22;100,00%;;NTT00325;BENTENG DEWA;99,92;99,66;99,41;99,61;58,07;75,86;95,76;100;99,97;99,97;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,22;100,00%;;;;;;;;;;;;;
;;;NTT00328;BENTENG TADO;99,87285714;99,79571429;99,51714286;99,73;66,36;70,83;96,12;100;99,92;99,97;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,40;100,00%;;NTT00328;BENTENG TADO;99,87;99,80;99,52;99,73;66,36;70,83;96,12;100;99,92;99,97;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,40;100,00%;;;;;;;;;;;;;
;;;NTT00338;SORU;99,51714286;99,54714286;99,69142857;100;54,16;75;94,14;99,89;99,95;99,62;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,93;100,00%;;NTT00338;SORU;99,52;99,55;99,69;100;54,16;75;94,14;99,89;99,95;99,62;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,93;100,00%;;;;;;;;;;;;;
;;;NTT00346;LENANG SELATAN;99,19428571;99,82571429;99,70571429;98,95;54,16;70,83;96,85;99,77;99,94;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,84;100,00%;;NTT00346;LENANG SELATAN;99,19;99,83;99,71;98,95;54,16;70,83;96,85;99,77;99,94;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,84;100,00%;;;;;;;;;;;;;
;;;NTT00348;KONDA MALOBA;99,84285714;99,79857143;99,61285714;97,42;45,83;75;95,08;100;99,95;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,72;100,00%;;NTT00348;KONDA MALOBA;99,84;99,80;99,61;97,42;45,83;75;95,08;100;99,95;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,72;100,00%;;;;;;;;;;;;;
;;;NTT00351;KAHALE;96,71714286;98,34428571;97,01285714;98,95;58,33;70,83;97,85;99,89;99,94;100;1;0,998511905;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;95,37;99,96%;;NTT00351;KAHALE;96,72;98,34;97,01;98,95;58,33;70,83;97,85;99,89;99,94;100;100,00%;99,85%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;95,37;99,96%;;;;;;;;;;;;;
;;;NTT00354;POCO RII;99,75714286;99,72142857;99,34428571;99,64;58,04;71,87;96,22;100;99,92;99,93;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,05;100,00%;;NTT00354;POCO RII;99,76;99,72;99,34;99,64;58,04;71,87;96,22;100;99,92;99,93;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,05;100,00%;;;;;;;;;;;;;
;;;NTT00362;NANGA BARAS;99,99571429;99,96571429;99,94571429;100;62,5;67,7;96,87;100;100;99,97;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,37;100,00%;;NTT00362;NANGA BARAS;100,00;99,97;99,95;100;62,5;67,7;96,87;100;100;99,97;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,37;100,00%;;;;;;;;;;;;;
;;;NTT00366;NANGA MBAUR;99,82857143;99,79285714;99,73857143;100;58,33;70,83;96,11;99,97;99,97;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,17;100,00%;;NTT00366;NANGA MBAUR;99,83;99,79;99,74;100;58,33;70,83;96,11;99,97;99,97;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,17;100,00%;;;;;;;;;;;;;
;;;NTT00372;COMPANG CONGKAR;77,50714286;98,55428571;99,66285714;100;62,5;69,79;96,19;97,72;99,94;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;91,29;100,00%;;NTT00372;COMPANG CONGKAR;77,51;98,55;99,66;100;62,5;69,79;96,19;97,72;99,94;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;91,29;100,00%;;;;;;;;;;;;;
;;;NTT00383;LEGUR LAI;99,99571429;99,73714286;99,99428571;100;64,58;68,75;97,91;100;98,75;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,43;100,00%;;NTT00383;LEGUR LAI;100,00;99,74;99,99;100;64,58;68,75;97,91;100;98,75;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,43;100,00%;;;;;;;;;;;;;
;;;NTT00390;BAMO;99,91857143;99,82571429;99,49142857;98,57;54,16;75;93,71;100;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,00;100,00%;;NTT00390;BAMO;99,92;99,83;99,49;98,57;54,16;75;93,71;100;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,00;100,00%;;;;;;;;;;;;;
;;;NTT00391;MOKEL MORID;99,72714286;99,67857143;99,73;100;62,5;68,7;95,07;99,95;99,94;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,15;100,00%;;NTT00391;MOKEL MORID;99,73;99,68;99,73;100;62,5;68,7;95,07;99,95;99,94;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,15;100,00%;;;;;;;;;;;;;
;;;NTT00394;GOLO LONI;99,89285714;99,70571429;99,46142857;98,02;56,13;75,48;93,1;100;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,01;100,00%;;NTT00394;GOLO LONI;99,89;99,71;99,46;98,02;56,13;75,48;93,1;100;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,01;100,00%;;;;;;;;;;;;;
;;;NTT00395;COMPANG KANTAR;99,94571429;99,51428571;82,43714286;0;0;0;0;46,84;100;100;1;1;0,87797619;14,58%;0,00%;0,00%;0,00%;47,92%;100,00%;100,00%;79,29;81,32%;;NTT00395;COMPANG KANTAR;99,95;99,51;82,44;0;0;0;0;46,84;100;100;100,00%;100,00%;87,80%;14,58%;0,00%;0,00%;0,00%;47,92%;100,00%;100,00%;79,29;81,32%;;;;;;;;;;;;;
;;;NTT00396;SATAR LENDA;99,94142857;99,83142857;99,53571429;98,74;62,3;71,16;95,79;100;99,97;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,25;100,00%;;NTT00396;SATAR LENDA;99,94;99,83;99,54;98,74;62,3;71,16;95,79;100;99,97;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,25;100,00%;;;;;;;;;;;;;
;;;NTT00397;LALANG;99,92428571;99,70714286;99,04285714;98,6;57,89;74,04;93,71;100;99,95;100;1;1;1;100,00%;100,00%;98,96%;100,00%;100,00%;100,00%;100,00%;96,96;99,96%;;NTT00397;LALANG;99,92;99,71;99,04;98,6;57,89;74,04;93,71;100;99,95;100;100,00%;100,00%;100,00%;100,00%;100,00%;98,96%;100,00%;100,00%;100,00%;100,00%;96,96;99,96%;;;;;;;;;;;;;
;;;NTT004;TUAPANAF;99,82857143;99,66285714;99,09142857;98,6;56,73;76,01;93,45;99,63;100;99,97;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,95;100,00%;;NTT004;TUAPANAF;99,83;99,66;99,09;98,6;56,73;76,01;93,45;99,63;100;99,97;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,95;100,00%;;;;;;;;;;;;;
;;;NTT0040;NONOTBATAN;99,74857143;99,61857143;99,50285714;99,39;62,08;68,11;95,07;100;99,92;99,58;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,01;100,00%;;NTT0040;NONOTBATAN;99,75;99,62;99,50;99,39;62,08;68,11;95,07;100;99,92;99,58;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,01;100,00%;;;;;;;;;;;;;
;;;NTT0041;TUAMESE;99,75;99,66571429;99,60857143;98,28;54,16;72,94;93,75;100;99,97;99,87;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,86;100,00%;;NTT0041;TUAMESE;99,75;99,67;99,61;98,28;54,16;72,94;93,75;100;99,97;99,87;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,86;100,00%;;;;;;;;;;;;;
;;;NTT00413;LEMPANG PAJI;99,79571429;99,96714286;99,97428571;100;62,5;69,79;95,83;100;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,37;100,00%;;NTT00413;LEMPANG PAJI;99,80;99,97;99,97;100;62,5;69,79;95,83;100;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,37;100,00%;;;;;;;;;;;;;
;;;NTT00414;NANGA MEJE;99,66142857;99,56571429;99,53142857;98,4;62,28;74,57;93,71;100;99,97;99,97;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,15;100,00%;;NTT00414;NANGA MEJE;99,66;99,57;99,53;98,4;62,28;74,57;93,71;100;99,97;99,97;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,15;100,00%;;;;;;;;;;;;;
;;;NTT00415;GOLO LINUS;99,70857143;99,68428571;99,48428571;99,67;66,4;69,79;95,07;100;99,97;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,25;100,00%;;NTT00415;GOLO LINUS;99,71;99,68;99,48;99,67;66,4;69,79;95,07;100;99,97;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,25;100,00%;;;;;;;;;;;;;
;;;NTT00416;WAE RASAN;99,71857143;99,64142857;99,54428571;98,61;60,26;74,45;95,28;100;99,97;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,18;100,00%;;NTT00416;WAE RASAN;99,72;99,64;99,54;98,61;60,26;74,45;95,28;100;99,97;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,18;100,00%;;;;;;;;;;;;;
;;;NTT00417;NANGA PUUN;88,84857143;99,32857143;85,99142857;97,14;58,33;44,6;0,13;0,1;0;0;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;75,70;100,00%;;NTT00417;NANGA PUUN;88,85;99,33;85,99;97,14;58,33;44,6;0,13;0,1;0;0;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;75,70;100,00%;;;;;;;;;;;;;
;;;NTT00419;KOLORAE;100;99,98857143;99,99428571;98,95;60,41;71,87;95,83;100;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,39;100,00%;;NTT00419;KOLORAE;100,00;99,99;99,99;98,95;60,41;71,87;95,83;100;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,39;100,00%;;;;;;;;;;;;;
