;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Column Labels;;;;;;;;;;;;;;;;;;;;;;;;;Column Labels;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Average of Availability (%);;;;;;;;;;Average of SLA VSAT;;;;;;;;;;Total Average of Availability (%);Total Average of SLA VSAT;;;;Average of Availability (%);;;;;;;;;;Average of SLA VSAT;;;;;;;;;;Total Average of Availability (%);Total Average of SLA VSAT;;;;;;;;;;;;;
;;;;;6;7;8;9;;;;;;;6;7;8;9;;;;;;;;;;;60;6;7;8;9;;;;;;;6;7;8;9;;;;;;;;;;;;;;;;;;;;;
;;;Site ID;Site Name;;;;22-Feb;23-Feb;24-Feb;25-Feb;26-Feb;27-Feb;28-Feb;;;;22-Feb;23-Feb;24-Feb;25-Feb;26-Feb;27-Feb;28-Feb;;;;Site ID;Site Name;;;;22-Feb;23-Feb;24-Feb;25-Feb;26-Feb;27-Feb;28-Feb;;;;22-Feb;23-Feb;24-Feb;25-Feb;26-Feb;27-Feb;28-Feb;;;;;;;;;;;;;;;
;;;KEP00052;NUMBING II;99,88285714;100;99,61857143;100;66,66;68,75;98,31;100;99,82;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,50;100,00%;;KEP00052;NUMBING II;99,88;100,00;99,62;100;66,66;68,75;98,31;100;99,82;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,50;100,00%;;;;;;;;;;;;;
;;;KEP0013;MELIAH;99,85714286;99,83285714;99,41;99,22;61,63;69,79;98,55;99,7;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,24;100,00%;;KEP0013;MELIAH;99,86;99,83;99,41;99,22;61,63;69,79;98,55;99,7;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,24;100,00%;;;;;;;;;;;;;
;;;KEP0015;PULAU KERDAU;99,86285714;99,87714286;99,08285714;98,95;64,97;69,79;98,75;99,67;99,99;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,28;100,00%;;KEP0015;PULAU KERDAU;99,86;99,88;99,08;98,95;64,97;69,79;98,75;99,67;99,99;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,28;100,00%;;;;;;;;;;;;;
;;;KEP002;BATU LEPUK;97,64571429;99,99;98,95857143;100;66,66;68,75;97,19;99,57;100;94,87;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,54;100,00%;;KEP002;BATU LEPUK;97,65;99,99;98,96;100;66,66;68,75;97,19;99,57;100;94,87;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;96,54;100,00%;;;;;;;;;;;;;
;;;KEP0022;AIR NUSA;99,87714286;99,56428571;99,17142857;99,73;67,6;68,22;98,24;99,78;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,28;100,00%;;KEP0022;AIR NUSA;99,88;99,56;99,17;99,73;67,6;68,22;98,24;99,78;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,28;100,00%;;;;;;;;;;;;;
;;;KEP0023;PAYAK;99,86428571;99,87142857;99,45714286;98,95;61,56;69,79;98,56;100;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,26;100,00%;;KEP0023;PAYAK;99,86;99,87;99,46;98,95;61,56;69,79;98,56;100;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,26;100,00%;;;;;;;;;;;;;
;;;KEP0025;BAYAT;99,93428571;99,85428571;99,03428571;99,89;66,66;70,74;97,65;99,95;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,38;100,00%;;KEP0025;BAYAT;99,93;99,85;99,03;99,89;66,66;70,74;97,65;99,95;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,38;100,00%;;;;;;;;;;;;;
;;;KEP0027;MUNJAN;99,89285714;99,73857143;99,62285714;100;66,66;70,83;97,73;99,96;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,50;100,00%;;KEP0027;MUNJAN;99,89;99,74;99,62;100;66,66;70,83;97,73;99,96;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,50;100,00%;;;;;;;;;;;;;
;;;KEP0028;MENGKAIT II;99,91;99,65857143;99,31285714;100;66,66;70,83;95,83;100;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,34;100,00%;;KEP0028;MENGKAIT II;99,91;99,66;99,31;100;66,66;70,83;95,83;100;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,34;100,00%;;;;;;;;;;;;;
;;;KEP0029;TELAGA KECIL;99,83571429;99,76857143;99,41571429;99,82;65,83;70,83;96,87;99,66;100;100;1;1;1;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,36;100,00%;;KEP0029;TELAGA KECIL;99,84;99,77;99,42;99,82;65,83;70,83;96,87;99,66;100;100;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;97,36;100,00%;;;;;;;;;;;;;
